,type,id,tags,intraHash,label,user,description,date,changeDate,count,url,interHash,pub-type,booktitle,publisher,address,year,author,authors,editor,editors,pages,note,abstract,isbn,language,bibtexKey,journal,issn,doi,price,series,volume,file,number,ee,eventtitle,refid,groups,intrahash,timestamp,username,search_string,pmid,poster,shorttitle,urldate,references,ean,asin,dewey,venue,priority,citeulike-article-id,issue,keyword,affiliation,owner,lccn,bdsk-url-1,bdsk-url-2,date-modified,topic,paperid,eventdate,urllink,dataset,source,document_type,copyright,video,numpages,articleno,location,eprint,posted-at,organisation,size,notes,acmid,date-added,archiveprefix,primaryclass,article-number,mendeley-tags,subtitle,pagetotal,ppn_gvk,citeulike-linkout-1,citeulike-linkout-0,session,urn,issue_date,dnbtitleid,keywords,pst,jt,edat,mhda,mh,jid,crdt,dcom,da,so,bdsk-file-1,stat,au,sb,pt,pl,own,gr,project,citeulike-linkout-2,citeulike-linkout-3,opac,status,oai-id,oai-set,unit,details,documenturl,review,journaltitle,area,projects,pdf
0,Bookmark,https://www.bibsonomy.org/url/a10ba61e8b7f7ca6db55da2670090ef2/robingarcia,['Unsortierte_Lesezeichen'],a10ba61e8b7f7ca6db55da2670090ef2,Attraktor - Der Makerspace in Hamburg,robingarcia,"Der gemeinnützige Attraktor e. V. betreibt den gleichnamigen Hacker- & Makerspace im schönen Hamburg-Altona. Er bietet Menschen und Gruppen einen Raum, die sich kreativ mit Technik auseinandersetzen möchten, und stellt die nötige Infrastruktur bereit.",2017-03-17 10:34:46,2017-04-13 09:59:00,1,https://blog.attraktor.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,makerspace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Bookmark,https://www.bibsonomy.org/url/6093e51d381e6c5c2a7d5ee954f7c1ee/christianoavila,"['educação', 'maker']",6093e51d381e6c5c2a7d5ee954f7c1ee,Why Makerspaces are Changing the World – Betabox Stories,christianoavila,While in college I learned about engineering in a makerspace. I learned how to communicate in a makerspace. I learned how to organize people in a makerspace. But it took a year of operating a mobile…,2017-05-09 12:48:55,2017-05-09 12:48:55,1,https://blog.betaboxlabs.com/why-makerspaces-are-changing-the-world-b4d57964f12f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,makerspace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Bookmark,https://www.bibsonomy.org/url/90a1ee85e2acf284765373ea8756d255/yish,"['thinking', 'design', 'makerspace', 'makers', 'learning', 'universal']",90a1ee85e2acf284765373ea8756d255,Design Thinking Process and UDL Planning Tool | Rethinking Learning,yish,"If there is a makerspace in your school, it may be down the hall, in the library, or in another building. If there is someone other than the teacher managing the makerspace or there is a schedule for the school, your kids may only be able to use it once a week or month. Some makerspace activities may be focusing on how to use the resources available and may not be connecting the activities to the curriculum or around a real world problem. If this is how the makerspace is set up in your school, then your kids may not have access to the resources, materials, and tools when they need them, especially for STEM or STEAM",2017-12-25 16:06:35,2017-12-25 16:06:35,1,http://barbarabray.net/2017/06/08/design-thinking-process-and-udl-planning-tool/#.WTmC06pV0jY.facebook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,makerspace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Bookmark,https://www.bibsonomy.org/url/f1009e9d37cb7bfdf0208ac6d7f052b4/djimenezsanchez,"['labs', 'tesis', 'maker']",f1009e9d37cb7bfdf0208ac6d7f052b4,Albemarle County Schools’ Journey From a Makerspace to a Maker District | EdSurge News,djimenezsanchez,,2016-08-04 09:40:49,2016-08-04 09:40:49,1,https://www.edsurge.com/news/2016-05-02-albemarle-county-schools-journey-from-a-makerspace-to-a-maker-district,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,makerspace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Bookmark,https://www.bibsonomy.org/url/5d1439dd7549743700296c739da928ee/yish,"['makerspace', 'makers', 'israel', 'education', 'maker']",5d1439dd7549743700296c739da928ee,XLN - Anything is possible. Anyone Can.,yish,,2017-06-08 14:45:40,2017-06-08 14:45:40,1,http://xln.org.il/tlv/?lang=he#team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,makerspace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Bookmark,https://www.bibsonomy.org/url/f348f67c3f3a6eb053d15500814a2b68/jemfleming,"[""Diigo_-_Jem_Fleming's_Bookmarks""]",f348f67c3f3a6eb053d15500814a2b68,"Hackerspace - Wikipedia, the free encyclopedia",jemfleming,"""A hackerspace or hackspace (also referred to as a hacklab, makerspace or creative space) is a location where people with common interests, often in computers, technology, science, or digital or electronic art (but also in many other realms) can meet, socialise and/or collaborate. Hackerspaces can be viewed as open community labs incorporating elements of machine shops, workshops and/or studios where hackers can come together to share resources and knowledge to build and make things. Many hackerspaces participate in the use and development of free software, open hardware, and alternative media. They are often physically located in infoshops, social centers, adult education centers, or on university campuses, but may relocate to industrial or warehouse space when they need more room..""",2012-10-09 01:05:34,2012-10-09 01:26:10,1,http://en.wikipedia.org/wiki/Hackerspaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,makerspace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Bookmark,https://www.bibsonomy.org/url/787238c394a0da96e394cd7eeda4fa85/bshanks,"['hackerspace', 'coworking', 'sandiego', 'local']",787238c394a0da96e394cd7eeda4fa85,HackerSpace SD,bshanks,,2016-12-12 10:00:53,2020-06-15 21:39:35,1,http://www.hackerspacesd.com/wiki/index.php/Main_Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,makerspace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Bookmark,https://www.bibsonomy.org/url/f420ddaa492d227ba54deb88faf57538/dumuzo,"['Bibliotheksbau', 'Lesezeichen-Symbolleiste', '~LIS']",f420ddaa492d227ba54deb88faf57538,A Librarian's Guide to Makerspaces: 16 Resources - iLibrarian,dumuzo,,2014-08-16 11:31:34,2014-08-16 11:36:31,2,http://oedb.org/blogs/ilibrarian/2013/a-librarians-guide-to-makerspaces/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,makerspace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Bookmark,https://www.bibsonomy.org/url/6db7f6f526dd70091afad64249198392/oeoe,"['hackerspace', 'sweden', 'activism', 'technology', 'community', 'malmö']",6db7f6f526dd70091afad64249198392,"Forskningsavdelningen - a hackerspace in Malmö, Sweden",oeoe,"Dit borde jag gå någon gång, får samla mod till detta!",2011-09-12 22:42:49,2011-09-12 22:42:49,1,http://forskningsavd.se/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,makerspace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Bookmark,https://www.bibsonomy.org/url/11a81e8c66a77a8d75adadd908ab0fe4/christianoavila,"['educação', 'movimento', 'maker']",11a81e8c66a77a8d75adadd908ab0fe4,Movimento Maker – O que é | iscool,christianoavila,makerspaces,2017-05-11 20:59:38,2017-05-11 20:59:38,1,http://www.iscool.co/2017/05/08/movimento-maker-o-que-e/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,makerspace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Bookmark,https://www.bibsonomy.org/url/67f389e524654b31a0fdc9fdd8111df5/sssftlibrary,['Library'],67f389e524654b31a0fdc9fdd8111df5,Creative makerspaces: flexible learning spaces to suit your needs: infotoday.eu,sssftlibrary,,2016-07-06 10:34:48,2016-07-06 10:34:48,1,http://www.infotoday.eu/Articles/Editorial/Featured-Articles/Creative-makerspaces-flexible-learning-spaces-to-suit-your-needs-112106.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,makerspace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Bookmark,https://www.bibsonomy.org/url/38afc81f02a8164661a5061f3b631d50/jepcastel,"['docencia', 'avaluacio', 'creativitat']",38afc81f02a8164661a5061f3b631d50,"CUED: Cómo definir el éxito de su espacio creativo: Las 4 Cs Comunicación, Colaboración, pensamiento Crítico y habilidades Creativas",jepcastel," Tomado de Universo AbiertoLister, Heather. How to Define Success in Your Makerspace. Demco Ideas & inspiration, 2019Texto completoUno de los debates más acalorados en la educación de los creadores gira en torno a la evaluación.¿Evaluar o no evaluar?No es ningún secreto que la educación está al borde de la obsesión por las evaluaciones.",2022-02-08 10:20:56,2022-02-08 10:20:56,1,http://blogcued.blogspot.com/2022/02/como-definir-el-exito-de-su-espacio.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,makerspace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Bookmark,https://www.bibsonomy.org/url/3c4d0d01a82d38a94fd2109f29383f35/shelley.adams,"['wfu', 'openaccess', 'research']",3c4d0d01a82d38a94fd2109f29383f35,WakeSpace,shelley.adams,A digital archive of Wake Forest University,2012-04-07 07:03:25,2013-08-09 00:51:24,1,http://wakespace.lib.wfu.edu/jspui/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,makerspace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Bookmark,https://www.bibsonomy.org/url/d108635451ee8ee72c47fdd0bdc0e5ad/mikaelbook,"['library', 'media', 'networks']",d108635451ee8ee72c47fdd0bdc0e5ad,Librarians,mikaelbook,"Librarians, Des articles à propos de Open Access, Libraries, Makerspaces...
Flipboard topic librarians",2020-02-18 16:18:21,2020-02-18 16:18:21,1,https://flipboard.com/topic/librarians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,makerspace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Bookmark,https://www.bibsonomy.org/url/ab9474f744520e0ac289cc947b5c7265/bshanks,"['Bookmarks', 'colla', 'Unsorted_Bookmarks', 'software', 'coworking', 'groupconsole', 'group']",ab9474f744520e0ac289cc947b5c7265,Hackerspace Software - HackerspaceWiki,bshanks,,2016-12-12 10:00:58,2020-06-15 21:39:35,1,http://hackerspaces.org/wiki/Hackerspace_Software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,makerspace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Bookmark,https://www.bibsonomy.org/url/12c3009e0be7e4c0528546be33552249/jaj,['wiki'],12c3009e0be7e4c0528546be33552249,hackerspace wiki. Technologia Incognita.,jaj,a place to share knowledge and help others develop in a diversity of fields. From arts to electronics,2017-11-25 22:29:48,2017-11-25 22:29:48,1,https://wiki.techinc.nl/index.php/Category:Projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,makerspace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Bookmark,https://www.bibsonomy.org/url/8dc8dd91672efc924fdcd935b6b27f91/christianoavila,['makerspaces'],8dc8dd91672efc924fdcd935b6b27f91,2018-Um_Estudo_Sobre_Pensamento_Formal_No_Contexto_dos_Makerspaces_Educacionais_EDUCAO_ORIENTADA__INOVAO_Desenvolvimento.pdf - Google Drive,christianoavila,,2019-08-29 14:51:12,2019-08-29 14:51:12,1,https://drive.google.com/file/d/1cDEA_RPqNuydQvEMucO1T37-XAB9ptvI/view,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,makerspace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Bookmark,https://www.bibsonomy.org/url/ce0e2d12d2664da574b8687ad825816c/meneteqel,"['Coronavirus', 'BMWi', '3d-Druck', 'Anke_Domscheit-Berg', 'maker_space', 'corona', 'Coronakrise', 'Alexander_Klarmann', 'maker']",ce0e2d12d2664da574b8687ad825816c,"KfW-Sonderprogramm - Wer gemeinnützig gegen Corona hilft, bekommt kein Geld | Netzpolitik.org 08.04.2020",meneteqel,"Mit einem milliardenschweren Sonderprogramm greift die Bundesregierung der deutschen Wirtschaft unter die Arme. Doch staatliche Förderung gibt es nur für Unternehmen mit Gewinnabsichten. Gemeinnützige Initiativen, die auf eigene Kosten Schutzmasken und Ersatzteile herstellen, gehen leer aus.",2020-04-10 12:35:21,2020-04-10 12:35:44,1,https://netzpolitik.org/2020/wer-gemeinnuetzig-gegen-corona-hilft-bekommt-kein-geld/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,makerspace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Bookmark,https://www.bibsonomy.org/url/31ef1ae42cfb0be060d8974c3f82a94f/robingarcia,['Unsortierte_Lesezeichen'],31ef1ae42cfb0be060d8974c3f82a94f,Chaosdorf | Hackerspace des CCC Düsseldorf,robingarcia,,2017-03-17 10:34:53,2017-04-13 09:59:50,1,https://chaosdorf.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,makerspace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Bookmark,https://www.bibsonomy.org/url/f146a9ca80b952909b6de3353dd6ab5a/djimenezsanchez,"['makered', 'tesis', 'maker']",f146a9ca80b952909b6de3353dd6ab5a,MakEY: Makerspaces in the early years - Department of Education,djimenezsanchez,,2017-03-13 07:24:00,2017-03-13 07:24:00,1,http://www.uv.uio.no/iped/english/research/projects/makey/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,makerspace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Bookmark,https://www.bibsonomy.org/url/2f415424aaf5713dc8c10699679d6186/bshanks,"['hackerspace', 'cowork']",2f415424aaf5713dc8c10699679d6186,live webcam at heatsync,bshanks,,2016-12-12 10:00:14,2020-06-15 21:39:35,1,http://live.heatsynclabs.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,makerspace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Bookmark,https://www.bibsonomy.org/url/293c36b3cfa0280a7236a6f69f03352e/bshanks,"['hackerspace', 'coworking', 'worktogether', 'space']",293c36b3cfa0280a7236a6f69f03352e,Jelly -- Working together is more fun for everyone!,bshanks,,2016-12-12 10:00:49,2020-06-15 21:39:35,1,http://www.workatjelly.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,makerspace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Bookmark,https://www.bibsonomy.org/url/5b9d5a4fcab0302a4c4a0d97d0e3af06/bshanks,"['hackerspace', 'coworking', 'worktogether', 'space']",5b9d5a4fcab0302a4c4a0d97d0e3af06,New Work City - Coworking in New York City.,bshanks,,2016-12-12 10:00:49,2020-06-15 21:39:35,1,http://www.nwcny.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,makerspace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Bookmark,https://www.bibsonomy.org/url/75370608058f4101fbc9c907c1a96805/bshanks,"['hackerspace', 'coworking', 'make']",75370608058f4101fbc9c907c1a96805,Jigsaw Renaissance,bshanks,,2016-12-12 10:00:53,2020-06-15 21:39:35,1,http://www.jigsawrenaissance.org/about/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,makerspace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Bookmark,https://www.bibsonomy.org/url/5ad69ab0b76ce1f821430a9f87df5534/bshanks,"['hackerspace', 'coworking', 'montreal']",5ad69ab0b76ce1f821430a9f87df5534,Seb's Open Research: Building Notman House: Evolving an Architecture of Participation,bshanks,,2016-12-12 10:00:50,2020-06-15 21:39:35,1,http://openresearch.sebpaquet.net/2010/05/building-notman-house-evolving.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,makerspace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Bookmark,https://www.bibsonomy.org/url/311a052f0a31cde6e0b9eca9b2479525/michelc,"['linux', 'cloud', 'computing', 'personal', 'windows', 'Mac']",311a052f0a31cde6e0b9eca9b2479525,Paperspace: Your full computer in the cloud,michelc,"At the moment only available in the US and can only run windows, they are planning to expand soon. ",2016-11-08 19:54:57,2016-12-10 13:42:55,1,https://www.paperspace.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,makerspace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Bookmark,https://www.bibsonomy.org/url/5ce8a289ef21e786058a1be099f8ceb0/jimbarritt,[],5ce8a289ef21e786058a1be099f8ceb0,Help fund a hackerspace for biology - Boing Boing,jimbarritt,biology,2010-07-07 18:01:53,2010-11-01 09:05:25,1,http://m.boingboing.net/2010/07/05/help-fund-a-hackersp.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,makerspace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Bookmark,https://www.bibsonomy.org/url/e38269255be33c1c3956b0c4fbce0dff/akpe,"['template', 'wiki', 'dokuwiki']",e38269255be33c1c3956b0c4fbce0dff,Apollo-NG - Mobile Hackerspace and Research & Development Lab,akpe,,2013-08-27 13:44:26,2013-08-27 13:44:26,1,https://apollo.open-resource.org/start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,makerspace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
